"Rank","Root Domain","Linking Root Domains","Domain Authority"
"1","www.google.com","14,234,118","100"
"2","apple.com","6,432,269","100"
"3","youtube.com","22,425,708","100"
"4","support.google.com","5,343,198","99"
"5","www.blogger.com","29,789,429","99"
"6","linkedin.com","11,802,942","99"
"7","microsoft.com","5,138,942","99"
"8","play.google.com","3,799,583","99"
"9","youtu.be","5,098,959","98"
"10","wordpress.org","11,837,585","98"
"11","en.wikipedia.org","6,934,493","98"
"12","cloudflare.com","6,365,308","98"
"13","mozilla.org","2,376,181","98"
"14","docs.google.com","3,264,681","98"
"15","maps.google.com","5,836,958","98"
"16","whatsapp.com","3,595,687","97"
"17","adobe.com","2,852,089","97"
"18","bp.blogspot.com","17,802,556","97"
"19","sites.google.com","2,179,451","97"
"20","accounts.google.com","2,566,476","97"
"21","googleusercontent.com","3,332,581","97"
"22","europa.eu","2,203,078","97"
"23","plus.google.com","11,181,655","97"
"24","drive.google.com","2,400,224","97"
"25","istockphoto.com","3,595,600","96"
"26","vk.com","1,783,331","96"
"27","vimeo.com","3,530,850","96"
"28","amazon.com","4,923,841","96"
"29","facebook.com","58,370,469","96"
"30","t.me","1,178,648","96"
"31","uol.com.br","685,706","96"
"32","policies.google.com","2,603,832","96"
"33","github.com","2,820,030","96"
"34","jimdofree.com","1,717,194","95"
"35","slideshare.net","1,005,714","95"
"36","search.google.com","1,448,363","95"
"37","theguardian.com","1,572,197","95"
"38","forbes.com","1,402,920","95"
"39","draft.blogger.com","10,987,169","95"
"40","issuu.com","992,050","95"
"41","google.com.br","296,062","95"
"42","www.yahoo.com","1,337,778","95"
"43","line.me","879,172","95"
"44","google.co.jp","657,818","95"
"45","www.weebly.com","5,119,155","95"
"46","youronlinechoices.com","573,567","95"
"47","google.de","1,123,835","95"
"48","fr.wikipedia.org","632,924","95"
"49","pt.wikipedia.org","416,824","95"
"50","imdb.com","1,514,242","95"
"51","who.int","1,999,737","95"
"52","mail.ru","483,527","95"
"53","dan.com","3,711,348","95"
"54","gravatar.com","12,289,980","95"
"55","buydomains.com","1,075,704","95"
"56","enable-javascript.com","9,087,377","95"
